name,facilities,latitude,longtitude
Tampines Avenue 4 ,Swimming Complex/Sports Hall/Gym ,103.94077231704,1.35436736684635
Pasir Ris Central ,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym ,103.952424537943,1.37448512294275
Stirling Road ,Swimming Complex/Stadium ,103.8021979086,1.29703118433011
Anchorvale Road ,Swimming Complex/Sports Hall/Gym/Hockey Pitch ,103.887535237702,1.39628632762323
Yio Chu Kang Road ,Swimming Complex/ Stadium ,103.874819675218,1.35779894733763
Lorong 6 Toa Payoh ,Swimming Complex/Sports Hall/Stadium/Gym ,103.852261295317,1.33114710936452
Woodlands Street 12 ,Swimming Complex/Sports Hall/Stadium/Gym ,103.78097604595,1.4357545025108
St Wilfred Road ,Field/Tennis Centre ,103.862154974899,1.32605591303017
Ang Mo Kio Avenue 9 ,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym ,103.84538692395,1.38339562811452
Yishun Avenue 1 ,Sports Hall/Stadium/Gym ,103.832038418267,1.41375104904808
Yishun Avenue 3 ,Swimming Complex ,103.834053811006,1.42411707461287
Evans Road ,Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch ,103.820163508503,1.32129929136485
Tiong Bahru Road ,Swimming Complex/Sports Hall/Gym/Hockey Pitch ,103.820350965163,1.29088508668353
Lengkok Bahru ,Gym ,103.814843176229,1.2876679644099
Aljunied Crescent Avenue 1 ,Swimming Complex ,103.888148340047,1.32148423019096
Lorong 12 Geylang ,Field ,103.87761161695,1.31093087343346
Rutland Road ,Field/Tennis Centre ,103.850338873065,1.30957995820846
Tyrwhitt Road ,Swimming Complex/Stadium ,103.859668996456,1.31068958851184
Jurong East Street 31 ,Swimming Complex/Sports Hall/Stadium/Gym/Gateball & Petanque Courts ,103.729138907193,1.34586414829953
Bedok North Street 1 ,Swimming Complex/Sports Hall/Tennis Centre/Gym ,103.931147265025,1.32722499734466
Hougang Avenue 4 ,Swimming Complex/Sports Hall/Stadium/Gym ,103.886186285942,1.3698443789415
West Coast Walk ,Stadium ,103.762831357532,1.31054736358854
Clementi Avenue 3 ,Swimming Complex/Sports Hall/Gym ,103.764384219114,1.31137729496485
Jurong West Street 93 ,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym ,103.693702605961,1.33893979108182
Geylang Bahru Lane ,Swimming Complex ,103.872252956458,1.32325195762473
Stadium Road ,Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl ,103.877357239552,1.30680410822255
Wilkinson Road ,Swimming Complex ,103.885917296542,1.30223475636127
Ang Mo Kio Avenue 1 ,Swimming Complex ,103.850044420756,1.36240591106072
Bishan Street 14 ,Swimming Complex/Sports Hall/Stadium/Gym ,103.851865316168,1.35549795781487
Bukit Batok Street 22 ,Swimming Complex ,103.747781014088,1.3449742165657
Bukit Batok West Avenue 5 ,Sports Hall/Stadium/Gym ,103.751882635276,1.35968730286159
Bedok North Street 2 ,Stadium ,103.936351191135,1.3266435360719
Burghley Drive ,Squash Centre/Tennis Centre ,103.860926082782,1.35925932367945
Choa Chu Kang Street 53 ,Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym ,103.74745156842,1.39035615823275
Fourth Chin Bee Road ,Stadium ,103.718512212638,1.3340808063381
